INFO,Date,Content Length,ContentType,remotePath,filename
PAM Disk2/pa0568au/pa0568au_001_180903_014241.wav,2018-09-30 08:06:33 +0000 GMT,230400044,.wav,PAM Disk2/pa0568au/pa0568au_001_180903_014241.wav,pa0568au_001_180903_014241.wav
PAM Disk2/pa0568au/pa0568au_002_180903_015244.wav,2018-09-30 08:10:53 +0000 GMT,230400044,.wav,PAM Disk2/pa0568au/pa0568au_002_180903_015244.wav,pa0568au_002_180903_015244.wav
PAM Disk2/pa0568au/pa0568au_003_180903_020243.wav,2018-09-30 08:09:17 +0000 GMT,230400044,.wav,PAM Disk2/pa0568au/pa0568au_003_180903_020243.wav,pa0568au_003_180903_020243.wav
PAM Disk2/pa0568au/pa0568au_004_180903_021242.wav,2018-09-30 08:08:44 +0000 GMT,230400044,.wav,PAM Disk2/pa0568au/pa0568au_004_180903_021242.wav,pa0568au_004_180903_021242.wav
PAM Disk2/pa0568au/pa0568au_005_180903_022241.wav,2018-09-30 08:09:09 +0000 GMT,110772524,.wav,PAM Disk2/pa0568au/pa0568au_005_180903_022241.wav,pa0568au_005_180903_022241.wav
PAM Disk2/pa0565au/pa0565au_005_180902_165750.wav,2018-09-30 07:54:56 +0000 GMT,130258988,.wav,PAM Disk2/pa0565au/pa0565au_005_180902_165750.wav,pa0565au_005_180902_165750.wav
PAM Disk2/pa0566au/pa0566au_005_180902_200639.wav,2018-09-30 08:00:14 +0000 GMT,197174828,.wav,PAM Disk2/pa0566au/pa0566au_005_180902_200639.wav,pa0566au_005_180902_200639.wav
PAM Disk2/pa0565au/pa0565au_001_180902_161749.wav,2018-09-30 07:51:56 +0000 GMT,230400044,.wav,PAM Disk2/pa0565au/pa0565au_001_180902_161749.wav,pa0565au_001_180902_161749.wav
PAM Disk2/pa0565au/pa0565au_002_180902_162753.wav,2018-09-30 07:53:45 +0000 GMT,230400044,.wav,PAM Disk2/pa0565au/pa0565au_002_180902_162753.wav,pa0565au_002_180902_162753.wav
PAM Disk2/pa0565au/pa0565au_003_180902_163752.wav,2018-09-30 07:54:55 +0000 GMT,230400044,.wav,PAM Disk2/pa0565au/pa0565au_003_180902_163752.wav,pa0565au_003_180902_163752.wav
PAM Disk2/pa0565au/pa0565au_004_180902_164751.wav,2018-09-30 07:54:49 +0000 GMT,230400044,.wav,PAM Disk2/pa0565au/pa0565au_004_180902_164751.wav,pa0565au_004_180902_164751.wav
PAM Disk2/pa0569au/pa0569au_002_180903_045107.wav,2018-09-30 08:13:03 +0000 GMT,230400044,.wav,PAM Disk2/pa0569au/pa0569au_002_180903_045107.wav,pa0569au_002_180903_045107.wav
PAM Disk2/pa0569au/pa0569au_003_180903_050106.wav,2018-09-30 08:13:17 +0000 GMT,230400044,.wav,PAM Disk2/pa0569au/pa0569au_003_180903_050106.wav,pa0569au_003_180903_050106.wav
PAM Disk2/pa0569au/pa0569au_004_180903_051105.wav,2018-09-30 08:14:16 +0000 GMT,230400044,.wav,PAM Disk2/pa0569au/pa0569au_004_180903_051105.wav,pa0569au_004_180903_051105.wav
PAM Disk2/pa0569au/pa0569au_005_180903_052104.wav,2018-09-30 08:15:48 +0000 GMT,126801452,.wav,PAM Disk2/pa0569au/pa0569au_005_180903_052104.wav,pa0569au_005_180903_052104.wav
PAM Disk2/pa0571au/pa0571au_001_180903_104220.wav,2018-09-30 08:25:58 +0000 GMT,230400044,.wav,PAM Disk2/pa0571au/pa0571au_001_180903_104220.wav,pa0571au_001_180903_104220.wav
PAM Disk2/pa0569au/pa0569au_001_180903_044103.wav,2018-09-30 08:20:02 +0000 GMT,230400044,.wav,PAM Disk2/pa0569au/pa0569au_001_180903_044103.wav,pa0569au_001_180903_044103.wav
PAM Disk2/pa0567au/pa0567au_001_180902_223630.wav,2018-09-30 08:02:15 +0000 GMT,230400044,.wav,PAM Disk2/pa0567au/pa0567au_001_180902_223630.wav,pa0567au_001_180902_223630.wav
PAM Disk2/pa0567au/pa0567au_002_180902_224633.wav,2018-09-30 08:03:13 +0000 GMT,230400044,.wav,PAM Disk2/pa0567au/pa0567au_002_180902_224633.wav,pa0567au_002_180902_224633.wav
PAM Disk2/pa0567au/pa0567au_003_180902_225632.wav,2018-09-30 08:05:21 +0000 GMT,230400044,.wav,PAM Disk2/pa0567au/pa0567au_003_180902_225632.wav,pa0567au_003_180902_225632.wav
PAM Disk2/pa0567au/pa0567au_004_180902_230631.wav,2018-09-30 08:08:39 +0000 GMT,230400044,.wav,PAM Disk2/pa0567au/pa0567au_004_180902_230631.wav,pa0567au_004_180902_230631.wav
PAM Disk2/pa0567au/pa0567au_005_180902_231630.wav,2018-09-30 08:04:51 +0000 GMT,216757292,.wav,PAM Disk2/pa0567au/pa0567au_005_180902_231630.wav,pa0567au_005_180902_231630.wav
PAM Disk2/pa0566au/pa0566au_003_180902_194641.wav,2018-09-30 08:01:05 +0000 GMT,230400044,.wav,PAM Disk2/pa0566au/pa0566au_003_180902_194641.wav,pa0566au_003_180902_194641.wav
PAM Disk2/pa0562au/pa0562au_003_180902_070732.wav,2018-09-30 07:37:36 +0000 GMT,230400044,.wav,PAM Disk2/pa0562au/pa0562au_003_180902_070732.wav,pa0562au_003_180902_070732.wav
PAM Disk2/pa0562au/pa0562au_004_180902_071731.wav,2018-09-30 07:36:55 +0000 GMT,230400044,.wav,PAM Disk2/pa0562au/pa0562au_004_180902_071731.wav,pa0562au_004_180902_071731.wav
PAM Disk2/pa0562au/pa0562au_005_180902_072730.wav,2018-09-30 07:37:05 +0000 GMT,173365292,.wav,PAM Disk2/pa0562au/pa0562au_005_180902_072730.wav,pa0562au_005_180902_072730.wav
