INFO: PAM Disk1/logs/syslog0.txt; ContentType: text/plain;  Content Length: 5952203
INFO: azcopy: A newer version 10.14.0 is available to download

INFO: PAM Disk1/pa0001au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0001au/file_registry.csv; ContentType: text/csv;  Content Length: 58
INFO: PAM Disk1/pa0001au/pa0001au_001_180705_125145.wav; ContentType: audio/x-wav;  Content Length: 195544364
INFO: PAM Disk1/pa0001au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0001au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0002au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0002au/file_registry.csv; ContentType: text/csv;  Content Length: 290
INFO: PAM Disk1/pa0002au/pa0002au_001_180705_133545.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0002au/pa0002au_002_180705_134550.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0002au/pa0002au_003_180705_135549.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0002au/pa0002au_004_180705_140548.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0002au/pa0002au_005_180705_141547.wav; ContentType: audio/x-wav;  Content Length: 222808364
INFO: PAM Disk1/pa0002au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0002au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0009au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0009au/file_registry.csv; ContentType: text/csv;  Content Length: 231
INFO: PAM Disk1/pa0009au/pa0009au_001_180706_003604.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0009au/pa0009au_002_180706_004609.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0009au/pa0009au_003_180706_005608.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0009au/pa0009au_004_180706_010607.wav; ContentType: audio/x-wav;  Content Length: 68533292
INFO: PAM Disk1/pa0009au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0009au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0004au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0004au/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0004au/pa0004au_001_180705_173844.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0004au/pa0004au_002_180705_174849.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0004au/pa0004au_003_180705_175848.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0004au/pa0004au_004_180705_180847.wav; ContentType: audio/x-wav;  Content Length: 120283436
INFO: PAM Disk1/pa0004au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0004au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0008au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0008au/file_registry.csv; ContentType: text/csv;  Content Length: 231
INFO: PAM Disk1/pa0008au/pa0008au_001_180705_231950.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0008au/pa0008au_002_180705_232955.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0008au/pa0008au_003_180705_233954.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0005bu/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0008au/pa0008au_004_180705_234953.wav; ContentType: audio/x-wav;  Content Length: 62006060
INFO: PAM Disk1/pa0008au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0005bu/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0008au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0005bu/pa0005bu_001_180705_193910.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0005bu/pa0005bu_002_180705_194915.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0005bu/pa0005bu_003_180705_195914.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0005bu/pa0005bu_004_180705_200913.wav; ContentType: audio/x-wav;  Content Length: 170910764
INFO: PAM Disk1/pa0006bu/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0005bu/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0006bu/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0005bu/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0006bu/pa0006bu_001_180705_210556.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0006bu/pa0006bu_002_180705_211601.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0006bu/pa0006bu_003_180705_212600.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0006bu/pa0006bu_004_180705_213559.wav; ContentType: audio/x-wav;  Content Length: 102852140
INFO: PAM Disk1/pa0006bu/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0006bu/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0007au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0007au/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0007au/pa0007au_001_180705_215336.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0007au/pa0007au_002_180705_220341.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0007au/pa0007au_003_180705_221340.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0007au/pa0007au_004_180705_222339.wav; ContentType: audio/x-wav;  Content Length: 138332972
INFO: PAM Disk1/pa0007au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0007au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0007bu/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0007bu/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0007bu/pa0007bu_001_180705_223012.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0007bu/pa0007bu_002_180705_224017.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0007bu/pa0007bu_003_180705_225016.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0007bu/pa0007bu_004_180705_230015.wav; ContentType: audio/x-wav;  Content Length: 123605804
INFO: PAM Disk1/pa0007bu/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0007bu/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0009bu/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0009bu/file_registry.csv; ContentType: text/csv;  Content Length: 174
INFO: PAM Disk1/pa0009bu/pa0009bu_001_180706_010938.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0009bu/pa0009bu_002_180706_011942.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0009bu/pa0009bu_003_180706_012941.wav; ContentType: audio/x-wav;  Content Length: 229919276
INFO: PAM Disk1/pa0009bu/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0009bu/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0003au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0003au/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0003au/pa0003au_001_180705_160754.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0003au/pa0003au_002_180705_161759.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0003au/pa0003au_003_180705_162758.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0003au/pa0003au_004_180705_163757.wav; ContentType: audio/x-wav;  Content Length: 215515436
INFO: PAM Disk1/pa0003au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0003au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0006au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0006au/file_registry.csv; ContentType: text/csv;  Content Length: 232
INFO: PAM Disk1/pa0006au/pa0006au_001_180705_203019.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0006au/pa0006au_002_180705_204024.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0006au/pa0006au_003_180705_205023.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0006au/pa0006au_004_180705_210022.wav; ContentType: audio/x-wav;  Content Length: 115765292
INFO: PAM Disk1/pa0006au/schedule.xml; ContentType: application/xml;  Content Length: 767
INFO: PAM Disk1/pa0006au/sensors.xml; ContentType: application/xml;  Content Length: 226
INFO: PAM Disk1/pa0010au/board_id.xml; ContentType: application/xml;  Content Length: 198
INFO: PAM Disk1/pa0010au/file_registry.csv; ContentType: text/csv;  Content Length: 231
INFO: PAM Disk1/pa0010au/pa0010au_001_180706_015331.wav; ContentType: audio/x-wav;  Content Length: 230400044
INFO: PAM Disk1/pa0010au/pa0010au_002_180706_020336.wav; ContentType: audio/x-wav;  Content Length: 230400044
