Date,Source,StartTime,EndTime,DeltaTime,start_time,end_time,source_class,source_class_specific
3-Aug,Aiguns,17:00,17:30,0:30,2018.08.03T17:00:00.000,2018.08.03T17:30:00.000,Anthropogenic,Aiguns
3-Aug,Aiguns,18:13,18:48,0:35,2018.08.03T18:13:00.000,2018.08.03T18:48:00.000,Anthropogenic,Aiguns
3-Aug,Aiguns,20:35,21:12,0:37,2018.08.03T20:35:00.000,2018.08.03T21:12:00.000,Anthropogenic,Aiguns
3-Aug,Aiguns,22:59,23:17,0:18,2018.08.03T22:59:00.000,2018.08.03T23:17:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,6:48,7:01,0:13,2018.08.04T06:48:00.000,2018.08.04T07:01:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,9:00,9:33,0:33,2018.08.04T09:00:00.000,2018.08.04T09:33:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,12:42,13:12,0:30,2018.08.04T12:42:00.000,2018.08.04T13:12:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,13:57,14:34,0:37,2018.08.04T13:57:00.000,2018.08.04T14:34:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,16:24,16:56,0:32,2018.08.04T16:24:00.000,2018.08.04T16:56:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,17:52,18:25,0:33,2018.08.04T17:52:00.000,2018.08.04T18:25:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,19:05,19:41,0:36,2018.08.04T19:05:00.000,2018.08.04T19:41:00.000,Anthropogenic,Aiguns
4-Aug,Aiguns,20:22,20:47,0:25,2018.08.04T20:22:00.000,2018.08.04T20:47:00.000,Anthropogenic,Aiguns
5-Aug,Aiguns,13:19,13:34,0:15,2018.08.05T13:19:00.000,2018.08.05T13:34:00.000,Anthropogenic,Aiguns
5-Aug,Aiguns,14:12,14:42,0:30,2018.08.05T14:12:00.000,2018.08.05T14:42:00.000,Anthropogenic,Aiguns
5-Aug,Aiguns,15:36,16:19,0:43,2018.08.05T15:36:00.000,2018.08.05T16:19:00.000,Anthropogenic,Aiguns
5-Aug,Aiguns,16:45,17:00,0:15,2018.08.05T16:45:00.000,2018.08.05T17:00:00.000,Anthropogenic,Aiguns
5-Aug,Aiguns,17:10,17:21,0:11,2018.08.05T17:10:00.000,2018.08.05T17:21:00.000,Anthropogenic,Aiguns
6-Aug,Aiguns,1:42,1:49,0:07,2018.08.06T01:42:00.000,2018.08.06T01:49:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,5:28,5:52,0:24,2018.08.07T05:28:00.000,2018.08.07T05:52:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,6:54,7:20,0:26,2018.08.07T06:54:00.000,2018.08.07T07:20:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,8:21,8:49,0:28,2018.08.07T08:21:00.000,2018.08.07T08:49:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,9:33,9:57,0:24,2018.08.07T09:33:00.000,2018.08.07T09:57:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,12:31,13:10,0:39,2018.08.07T12:31:00.000,2018.08.07T13:10:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,14:28,14:35,0:07,2018.08.07T14:28:00.000,2018.08.07T14:35:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,15:18,15:55,0:37,2018.08.07T15:18:00.000,2018.08.07T15:55:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,16:52,17:23,0:31,2018.08.07T16:52:00.000,2018.08.07T17:23:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,19:44,19:54,0:10,2018.08.07T19:44:00.000,2018.08.07T19:54:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,21:26,21:36,0:10,2018.08.07T21:26:00.000,2018.08.07T21:36:00.000,Anthropogenic,Aiguns
7-Aug,Aiguns,22:36,22:38,0:02,2018.08.07T22:36:00.000,2018.08.07T22:38:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,0:18,0:25,0:07,2018.08.08T00:18:00.000,2018.08.08T00:25:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,1:27,1:49,0:22,2018.08.08T01:27:00.000,2018.08.08T01:49:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,2:44,3:21,0:37,2018.08.08T02:44:00.000,2018.08.08T03:21:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,4:15,4:32,0:17,2018.08.08T04:15:00.000,2018.08.08T04:32:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,5:20,5:59,0:39,2018.08.08T05:20:00.000,2018.08.08T05:59:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,6:41,7:12,0:31,2018.08.08T06:41:00.000,2018.08.08T07:12:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,7:52,8:30,0:38,2018.08.08T07:52:00.000,2018.08.08T08:30:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,9:03,9:31,0:28,2018.08.08T09:03:00.000,2018.08.08T09:31:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,10:15,10:56,0:41,2018.08.08T10:15:00.000,2018.08.08T10:56:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,12:34,13:20,0:46,2018.08.08T12:34:00.000,2018.08.08T13:20:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,13:52,14:23,0:31,2018.08.08T13:52:00.000,2018.08.08T14:23:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,15:02,15:31,0:29,2018.08.08T15:02:00.000,2018.08.08T15:31:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,17:39,18:18,0:39,2018.08.08T17:39:00.000,2018.08.08T18:18:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,20:01,20:44,0:43,2018.08.08T20:01:00.000,2018.08.08T20:44:00.000,Anthropogenic,Aiguns
8-Aug,Aiguns,22:30,22:52,0:22,2018.08.08T22:30:00.000,2018.08.08T22:52:00.000,Anthropogenic,Aiguns
10-Aug,Aiguns,8:44,9:23,0:39,2018.08.10T08:44:00.000,2018.08.10T09:23:00.000,Anthropogenic,Aiguns
13-Aug,Aiguns,7:22,7:29,0:07,2018.08.13T07:22:00.000,2018.08.13T07:29:00.000,Anthropogenic,Aiguns
13-Aug,Aiguns,13:03,13:56,0:53,2018.08.13T13:03:00.000,2018.08.13T13:56:00.000,Anthropogenic,Aiguns
13-Aug,Aiguns,16:48,17:07,0:19,2018.08.13T16:48:00.000,2018.08.13T17:07:00.000,Anthropogenic,Aiguns
13-Aug,Aiguns,19:20,19:54,0:34,2018.08.13T19:20:00.000,2018.08.13T19:54:00.000,Anthropogenic,Aiguns
13-Aug,Aiguns,22:09,22:52,0:43,2018.08.13T22:09:00.000,2018.08.13T22:52:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,0:55,1:42,0:47,2018.08.14T00:55:00.000,2018.08.14T01:42:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,3:51,4:25,0:34,2018.08.14T03:51:00.000,2018.08.14T04:25:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,7:03,7:12,0:09,2018.08.14T07:03:00.000,2018.08.14T07:12:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,9:02,9:28,0:26,2018.08.14T09:02:00.000,2018.08.14T09:28:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,11:42,12:28,0:46,2018.08.14T11:42:00.000,2018.08.14T12:28:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,14:33,15:16,0:43,2018.08.14T14:33:00.000,2018.08.14T15:16:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,17:19,18:02,0:43,2018.08.14T17:19:00.000,2018.08.14T18:02:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,19:57,20:43,0:46,2018.08.14T19:57:00.000,2018.08.14T20:43:00.000,Anthropogenic,Aiguns
14-Aug,Aiguns,22:47,23:19,0:32,2018.08.14T22:47:00.000,2018.08.14T23:19:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,4:55,5:41,0:46,2018.08.15T04:55:00.000,2018.08.15T05:41:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,8:45,8:47,0:02,2018.08.15T08:45:00.000,2018.08.15T08:47:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,11:02,11:51,0:49,2018.08.15T11:02:00.000,2018.08.15T11:51:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,14:30,15:02,0:32,2018.08.15T14:30:00.000,2018.08.15T15:02:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,17:34,18:13,0:39,2018.08.15T17:34:00.000,2018.08.15T18:13:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,20:39,21:27,0:48,2018.08.15T20:39:00.000,2018.08.15T21:27:00.000,Anthropogenic,Aiguns
15-Aug,Aiguns,23:55,23:59,0:04,2018.08.15T23:55:00.000,2018.08.15T23:59:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,0:00,0:36,0:36,2018.08.16T00:00:00.000,2018.08.16T00:36:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,3:22,3:52,0:30,2018.08.16T03:22:00.000,2018.08.16T03:52:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,6:46,7:37,0:51,2018.08.16T06:46:00.000,2018.08.16T07:37:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,9:52,10:42,0:50,2018.08.16T09:52:00.000,2018.08.16T10:42:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,12:45,13:17,0:32,2018.08.16T12:45:00.000,2018.08.16T13:17:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,15:41,16:24,0:43,2018.08.16T15:41:00.000,2018.08.16T16:24:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,18:35,18:44,0:09,2018.08.16T18:35:00.000,2018.08.16T18:44:00.000,Anthropogenic,Aiguns
16-Aug,Aiguns,22:04,22:26,0:22,2018.08.16T22:04:00.000,2018.08.16T22:26:00.000,Anthropogenic,Aiguns
17-Aug,Aiguns,0:39,1:29,0:50,2018.08.17T00:39:00.000,2018.08.17T01:29:00.000,Anthropogenic,Aiguns
17-Aug,Aiguns,3:43,4:00,0:17,2018.08.17T03:43:00.000,2018.08.17T04:00:00.000,Anthropogenic,Aiguns
17-Aug,Aiguns,6:53,7:29,0:36,2018.08.17T06:53:00.000,2018.08.17T07:29:00.000,Anthropogenic,Aiguns
24-Aug,Aiguns,0:25,0:40,0:15,2018.08.24T00:25:00.000,2018.08.24T00:40:00.000,Anthropogenic,Aiguns
24-Aug,Aiguns,9:39,10:01,0:22,2018.08.24T09:39:00.000,2018.08.24T10:01:00.000,Anthropogenic,Aiguns
25-Aug,Aiguns,2:42,3:05,0:23,2018.08.25T02:42:00.000,2018.08.25T03:05:00.000,Anthropogenic,Aiguns
25-Aug,Aiguns,5:30,5:59,0:29,2018.08.25T05:30:00.000,2018.08.25T05:59:00.000,Anthropogenic,Aiguns
25-Aug,Aiguns,8:35,8:41,0:06,2018.08.25T08:35:00.000,2018.08.25T08:41:00.000,Anthropogenic,Aiguns
27-Aug,Aiguns,20:01,20:37,0:36,2018.08.27T20:01:00.000,2018.08.27T20:37:00.000,Anthropogenic,Aiguns
27-Aug,Aiguns,23:08,23:36,0:28,2018.08.27T23:08:00.000,2018.08.27T23:36:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,2:23,2:33,0:10,2018.08.28T02:23:00.000,2018.08.28T02:33:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,4:36,5:10,0:34,2018.08.28T04:36:00.000,2018.08.28T05:10:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,7:34,8:16,0:42,2018.08.28T07:34:00.000,2018.08.28T08:16:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,10:47,11:18,0:31,2018.08.28T10:47:00.000,2018.08.28T11:18:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,14:06,14:27,0:21,2018.08.28T14:06:00.000,2018.08.28T14:27:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,17:22,17:58,0:36,2018.08.28T17:22:00.000,2018.08.28T17:58:00.000,Anthropogenic,Aiguns
28-Aug,Aiguns,20:35,21:14,0:39,2018.08.28T20:35:00.000,2018.08.28T21:14:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,2:59,3:42,0:43,2018.08.29T02:59:00.000,2018.08.29T03:42:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,6:14,6:56,0:42,2018.08.29T06:14:00.000,2018.08.29T06:56:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,9:41,10:10,0:29,2018.08.29T09:41:00.000,2018.08.29T10:10:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,13:11,13:39,0:28,2018.08.29T13:11:00.000,2018.08.29T13:39:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,16:50,16:53,0:03,2018.08.29T16:50:00.000,2018.08.29T16:53:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,20:14,20:57,0:43,2018.08.29T20:14:00.000,2018.08.29T20:57:00.000,Anthropogenic,Aiguns
29-Aug,Aiguns,23:39,23:59,0:20,2018.08.29T23:39:00.000,2018.08.29T23:59:00.000,Anthropogenic,Aiguns
30-Aug,Aiguns,0:00,0:13,0:13,2018.08.30T00:00:00.000,2018.08.30T00:13:00.000,Anthropogenic,Aiguns
22-Jul,Vessel noise,18:53,19:27,0:34,2018.07.22T18:53:00.000,2018.07.22T19:27:00.000,Anthropogenic,Vessel noise
22-Jul,Vessel noise,20:02,20:36,0:34,2018.07.22T20:02:00.000,2018.07.22T20:36:00.000,Anthropogenic,Vessel noise
22-Jul,Vessel noise,21:00,21:38,0:38,2018.07.22T21:00:00.000,2018.07.22T21:38:00.000,Anthropogenic,Vessel noise
22-Jul,Vessel noise,22:10,22:48,0:38,2018.07.22T22:10:00.000,2018.07.22T22:48:00.000,Anthropogenic,Vessel noise
22-Jul,Vessel noise,23:08,23:48,0:40,2018.07.22T23:08:00.000,2018.07.22T23:48:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,0:17,0:55,0:38,2018.07.23T00:17:00.000,2018.07.23T00:55:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,1:13,1:53,0:40,2018.07.23T01:13:00.000,2018.07.23T01:53:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,2:23,3:00,0:37,2018.07.23T02:23:00.000,2018.07.23T03:00:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,3:18,3:58,0:40,2018.07.23T03:18:00.000,2018.07.23T03:58:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,4:30,5:09,0:39,2018.07.23T04:30:00.000,2018.07.23T05:09:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,5:29,6:08,0:39,2018.07.23T05:29:00.000,2018.07.23T06:08:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,6:42,7:16,0:34,2018.07.23T06:42:00.000,2018.07.23T07:16:00.000,Anthropogenic,Vessel noise
